Data Set,MRR,Accuracy,CustomMRR,Number of Training Labels,Number of Testing Labels,Number of Testing Labels which are not present in training set,Train Time,Test Time,Total Time,Average Number of Training Tuples in Semantic Label,Average Number of Testing Tuples in Semantic Labels,Modified MRR,Modified Accuracy,,Weighted MRR,Weighted Accuracy
orgSeaBodyOfWater,0.6666666667, 66.66666666666666%,0.7291666667,6,6,2,0.834,1.615,2.817,71,33,1.0000000001,1,,4.0000000002,4
orgSkiResort,0.78125, 75.0%,0.7903645833,44,32,5,5.186,4.097,9.677,34,21,0.9259259259,0.8888888889,,25,24
orgComment,0.8421325052, 80.12422360248446%,0.8508281573,179,161,6,1677.483,614.157,2292.222,15794,7432,0.8747311828,0.8322580645,,135.5833333372,129
orgMountain,0.3828502415, 33.33333333333333%,0.4620772947,46,69,36,7.482,16.563,24.443,517,117,0.8005050504,0.696969697,,26.4166666635,23
orgPark,0.681372549, 64.70588235294117%,0.687254902,77,34,7,9.714,15.93,26.043,173,187,0.8580246913,0.8148148148,,23.166666666,22
orgLakeBodyOfWater,0.8823529412, 82.35294117647058%,0.8941176471,27,17,0,3.947,7.861,12.217,217,139,0.8823529412,0.8235294118,,15.0000000004,14
orgStadiumOrArena,0.6666666667, 64.58333333333334%,0.7104166667,68,48,9,7.787,6.835,15.038,180,111,0.8205128206,0.7948717949,,32.0000000016,31
orgCity,0.7489878543, 71.25506072874494%,0.8023954116,314,247,38,166.087,174.801,341.294,6442,3517,0.8851674642,0.8421052632,,185.0000000121,176
orgSportsTeam,0.6996996997, 66.66666666666666%,0.7323573574,102,111,27,18.318,40.714,59.435,1838,3893,0.9246031746,0.880952381,,77.6666666667,74
orgHospital,0.6977124183, 64.70588235294117%,0.7075163399,154,102,17,30.836,52.527,83.765,1711,826,0.837254902,0.7764705882,,71.1666666666,66
orgCanal,0.6730769231, 61.53846153846154%,0.6730769231,14,13,0,2.037,1.705,4.544,38,14,0.6730769231,0.6153846154,,8.7500000003,8
orgRiverBodyOfWater,0.7192982456, 68.42105263157895%,0.7456140351,18,19,4,3.923,10.185,14.642,484,196,0.9111111111,0.8666666667,,13.6666666664,13
orgRestaurant,0.7110935857, 66.5615141955836%,0.7460830705,443,317,35,1409.889,421.671,1831.933,10035,5311,0.7993498818,0.7482269504,,225.4166666669,211
orgGovernmentOrganization,0.7509803922, 71.76470588235294%,0.7639215686,116,85,9,16.257,29.245,45.939,702,361,0.8399122808,0.8026315789,,63.833333337,61
orgCollegeOrUniversity,0.6434494196, 62.189054726368155%,0.6797263682,213,201,46,2133.599,557.441,2691.553,12615,5961,0.8344086022,0.8064516129,,129.3333333396,125
orgTvEpisode,0.8082191781, 77.3972602739726%,0.8243150685,178,146,5,2591.359,118.803,2710.614,46058,23630,0.8368794326,0.8014184397,,118.0000000026,113
orgRadioStation,0.7045454545, 65.45454545454545%,0.7427272727,52,55,11,11.634,23.589,35.616,1519,627,0.8806818181,0.8181818182,,38.7499999975,36
orgShoppingCenter,0.8117283951, 77.77777777777779%,0.8265432099,71,54,0,9.072,21.568,31.016,141,54,0.8117283951,0.7777777778,,43.8333333354,42
orgEducationalOrganization,0.5804891923, 55.631399317406135%,0.6453356086,331,293,93,65.469,79.79,145.879,2009,629,0.8504166667,0.815,,170.0833333439,163
orgLanguage,0.8286163522, 75.47169811320755%,0.8323899371,69,53,2,7.894,14.015,22.311,445,286,0.8611111111,0.7843137255,,43.9166666666,40
orgSculpture,0.4583333333, 44.44444444444444%,0.474537037,23,36,16,2.655,2.287,5.397,29,8,0.8249999999,0.8,,16.4999999988,16
orgSchool,0.4923007246, 47.82608695652174%,0.5636322464,125,184,83,59.528,59.034,118.967,5965,1730,0.8968646864,0.8712871287,,90.5833333264,88
orgLibrary,0.8039215686, 74.50980392156863%,0.818627451,57,51,6,7.336,5.834,13.586,1150,515,0.9111111111,0.8444444444,,40.9999999986,38
orgMuseum,0.6138888889, 58.333333333333336%,0.7231944444,74,60,19,8.223,14.649,23.274,156,87,0.8983739838,0.8536585366,,36.833333334,35
orgLandmarksOrHistoricalBuildings,0.8311403509, 78.94736842105263%,0.8486842105,141,76,4,17.5,20.876,38.839,625,484,0.8773148148,0.8333333333,,63.1666666684,60
orgPainting,0.75, 72.72727272727273%,0.7792929293,50,33,6,6.298,9.409,16.108,282,191,0.9166666667,0.8888888889,,24.75,24
,,,,,,,,,,,,,,,,
Total Accuracy:65.3615661207,Modified Accuracy:,0.8111056024,,,,,,,,,,,,,,
Total MRR:0.688540418165,Modified MRR:,0.8544455462,,,,,,,,,,,,,,
Total CustomMRR:0.726734585164,,,,,,,,,,,,,,,,
