Data Set,MRR,Accuracy,CustomMRR,Number of Training Labels,Number of Testing Labels,Number of Testing Labels which are not present in training set,Train Time,Test Time,Total Time,Average Number of Training Tuples in Semantic Label,Average Number of Testing Tuples in Semantic Labels,MRR excluding labels not trained upon,Accuracy excluding labels not trained upon,,Weighted accuracy,Weighted MRR
orgSeaBodyOfWater,0.6666666667, 66.66666666666666%,0.7291666667,6,6,2,0.838,1.667,2.926,71,33,1.0000000001,100.00%,,4,4.0000000002
orgSkiResort,0.78125, 75.0%,0.7903645833,44,32,5,5.067,4.089,9.56,34,21,0.9259259259,88.89%,,24,25
orgComment,0.8452380952, 80.74534161490683%,0.8542443064,179,161,6,43.115,427.64,471.202,15794,7432,0.8779569892,83.87%,,130,136.0833333272
orgMountain,0.3828502415, 33.33333333333333%,0.4620772947,46,69,36,7.479,15.71,23.595,517,117,0.8005050504,69.70%,,23,26.4166666635
orgPark,0.681372549, 64.70588235294117%,0.687254902,77,34,7,9.832,15.263,25.519,173,187,0.8580246913,81.48%,,22,23.166666666
orgLakeBodyOfWater,0.8823529412, 82.35294117647058%,0.8941176471,27,17,0,4.078,7.852,12.358,217,139,0.8823529412,82.35%,,14,15.0000000004
orgStadiumOrArena,0.6666666667, 64.58333333333334%,0.7104166667,68,48,9,8.089,6.913,15.412,180,111,0.8205128206,79.49%,,31,32.0000000016
orgCity,0.7469635628, 70.8502024291498%,0.8005398111,314,247,38,54.451,159.86,214.7,6442,3517,0.8827751197,83.73%,,175,184.5000000116
orgSportsTeam,0.6996996997, 66.66666666666666%,0.7323573574,102,111,27,14.845,46.335,61.579,1838,3893,0.9246031746,88.10%,,74,77.6666666667
orgHospital,0.6977124183, 64.70588235294117%,0.7075163399,154,102,17,21.422,50.271,72.107,1711,826,0.837254902,77.65%,,66,71.1666666666
orgCanal,0.6730769231, 61.53846153846154%,0.6730769231,14,13,0,1.721,1.766,3.983,38,14,0.6730769231,61.54%,,8,8.7500000003
orgRiverBodyOfWater,0.7192982456, 68.42105263157895%,0.7456140351,18,19,4,3.662,10.218,14.301,484,196,0.9111111111,86.67%,,13,13.6666666664
orgRestaurant,0.7202944269, 68.13880126182966%,0.7536540484,443,317,35,360.839,287.929,649.351,10035,5311,0.8096926714,76.60%,,216,228.3333333273
orgGovernmentOrganization,0.7509803922, 71.76470588235294%,0.7639215686,116,85,9,15.688,27.672,43.787,702,361,0.8399122808,80.26%,,61,63.833333337
orgCollegeOrUniversity,0.6426202322, 61.69154228855721%,0.675787728,213,201,46,109.217,418.265,527.948,12615,5961,0.8333333334,80.00%,,124,129.1666666722
orgTvEpisode,0.8122146119, 76.71232876712328%,0.8272260274,178,146,5,41.66,86.752,128.826,46058,23630,0.8410165485,79.43%,,112,118.5833333374
orgRadioStation,0.7045454545, 65.45454545454545%,0.7381818182,52,55,11,9.009,22.468,31.912,1519,627,0.8806818181,81.82%,,36,38.7499999975
orgShoppingCenter,0.8117283951, 77.77777777777779%,0.8265432099,71,54,0,9.611,21.051,31.021,141,54,0.8117283951,77.78%,,42,43.8333333354
orgEducationalOrganization,0.5787827076, 55.631399317406135%,0.6424061433,331,293,93,43.598,69.763,113.835,2009,629,0.8479166666,81.50%,,163,169.5833333268
orgLanguage,0.8286163522, 75.47169811320755%,0.8323899371,69,53,2,8.035,14.474,22.927,445,286,0.8611111111,78.43%,,40,43.9166666666
orgSculpture,0.4583333333, 44.44444444444444%,0.474537037,23,36,16,2.622,2.313,5.334,29,8,0.8249999999,80.00%,,16,16.4999999988
orgSchool,0.4923007246, 47.82608695652174%,0.5622735507,125,184,83,23.15,52.692,76.257,5965,1730,0.8968646864,87.13%,,88,90.5833333264
orgLibrary,0.8039215686, 74.50980392156863%,0.818627451,57,51,6,6.843,6.152,13.414,1150,515,0.9111111111,84.44%,,38,40.9999999986
orgMuseum,0.6138888889, 58.333333333333336%,0.7231944444,74,60,19,8.312,15.12,23.874,156,87,0.8983739838,85.37%,,35,36.833333334
orgLandmarksOrHistoricalBuildings,0.8333333333, 78.94736842105263%,0.8503289474,141,76,4,14.778,20.229,35.417,625,484,0.8796296296,83.33%,,60,63.3333333308
orgPainting,0.75, 72.72727272727273%,0.7792929293,50,33,6,6.493,9.535,16.458,282,191,0.9166666667,88.89%,,24,24.75
,,,,,,,,,,,,,,,,
Total Accuracy:65.4814222932,Total Modified Accuracy: ,0.8125929598,,,,,,,,,,,,,,
Total MRR:0.689738979891,Total Modified MRR:,0.8559329036,,,,,,,,,,,,,,
Total CustomMRR:0.727090824344,,,,,,,,,,,,,,,,
